"Año";"Periodo";"Parámetro";"kg/hab"
"2018";"Año";"Andalucía";"526,7"
"2018";"Año";"Aragón";"494,4"
"2018";"Año";"Asturias";"489,1"
"2018";"Año";"Baleares";"815,2"
"2018";"Año";"C. Valenciana";"514,3"
"2018";"Año";"Canarias";"608,3"
"2018";"Año";"Cantabria";"566,1"
"2018";"Año";"Cataluña";"461,8"
"2018";"Año";"CLM";"476,4"
"2018";"Año";"CyL";"450,4"
"2018";"Año";"Extremadura";"476,9"
"2018";"Año";"Galicia";"421,7"
"2018";"Año";"La Rioja";"428,9"
"2018";"Año";"Madrid";"386,1"
"2018";"Año";"Murcia";"493,5"
"2018";"Año";"Navarra";"455"
"2018";"Año";"País Vasco";"479"
"2018";"Año";"Total nacional";"485,9"
;;
;;
"Métrica":"kg/hab"
"Fuente":"INE"
"Clasificación":""
"Unidad":"kg/hab"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/recogida-residuos-per-capita-2017-comunidades-autonomas/9f582626-7ec6-47dd-9533-a1a5270d74b1"
"Titulo":"Recogida de residuos per cápita en 2018 por comunidades autónomas"
"Subtitulo":""
